Words,Frequency
certainty,1
conquering,2
enemythat,1
miss,2
perfection,1
truly,3
observes,5
beconnedtotheactualgroundoccupiedbythetroops,1
itincludesallthe,1
arrangementsandpreparationswhichawisegeneralwillmaketoincrease,1
victoryhasbeenwonwhereashewhoisdestinedtodefeatrstghtsand,1
paradox,2
willensurevictoryandthenleadyourarmytobattleifyouwillnotbegin,1
rely,3
brute,2
assured,2
consummate,1
leader,8
cultivates,2
adheres,1
inrespectofmilitarymethodwehaverstlymeasurementsecondlyes,1
timation,1
quantity,2
thirdly,1
calculation,8
fourthly,1
balancing,3
fthly,1
measurementowesitsexistencetoearthestimationofquantitytomeas,1
urement,1
estimation,2
victoryto,1
itisnoteasytodistinguishthefourtermsveryclearlyinthechinese,1
surveying,1
measurement,2
enable,2
basedonthedatathusobtainedwearethusledtoageneralweighingup,1
ensues,1
term,5
nearly,1
synonymous,1
secondtermshouldbethoughtofasaconsiderationoftheenemysgeneral,1
ontheotherhandtumusays,1
thequestionofrelativestrength,1
settled,1
cunning,3
play,3
seconds,1
weakens,1
asbeing,1
grain,4
oz,3
weighed,2
enormous,2
ushed,1
demoralized,1
cius,1
ounces,4
corrects,1
hsis,2
equaled,1
theonrushofaconqueringforceisliketheburstingofpentupwatersinto,1
chasm,1
fathoms,1
controlofafewmen,1
itismerelyaquestionofdividinguptheirnumbers,1
regiments,2
etc,8
sub,2
ordinate,1
hsins,2
reply,1
oh,1
answered,2
fighting,1
nowise,1
instituting,1
signs,6
signals,2
ensure,7
host,9
withstand,1
brunt,1
unshaken,1
effected,3
maneuvers,7
parts,5
signicance,1
terms,4
equivalents,1
tabulate,1
proceeding,3
facing,8
lateral,1
chialin,1
inpresenceoftheenemyyourtroopsshouldbearrayedinnor,1
mal,1
abnormal,1
active,2
passive,1
passivity,1
beings,1
straightforward,1
secretly,6
chiandchimayalsobechengheinstancesthefamousexploitof,1
ostensibly,1
chaoi,1
inshensisuddenlythrewalargeforceacrosstheyellowriverinwooden,1
tubs,1
disconcerting,1
linchin,1
surprise,5
euver,1
summary,3
opinions,2
liao,7
favors,1
indirect,9
going,10
straight,3
join,5
operation,2
appearing,1
maneuver,4
weikung,1
mentsontheotherhandarechithesewriterssimplyregardcheng,1
mutually,1
interchangeable,1
run,9
sides,6
circle,2
root,2
enemylookuponitaschengthenourrealattackwillbechiandvice,1
confusing,1
fathom,1
intent,1
xed,3
comes,7
anunexpectedquarter,1
iftheenemyperceivesamovementwhichismeant,1
immediately,6
impact,1
grindstone,1
dashed,2
egg,1
thescience,1
inallghtingthedirectmethodmaybeusedforjoiningbattlebutindirect,1
methods,7
needed,1
inorder,1
steadily,2
pounding,1
anks,1
falling,2
brilliant,2
tacticswhichdecidedthefortunesofacampaignwaslordrobertsnight,1
peiwar,1
kotal,1
afghan,1
efciently,1
inexhausible,1
unending,1
ow,2
rivers,2
streams,1
endbuttobeginanewlikethefourseasonstheypassawaytoreturnonce,1
permutations,1
un,1
clause,3
relating,2
pointed,4
inextricably,1
interwoven,1
gurative,2
almost,5
innite,1
resource,3
fortyone,1
india,1
musical,1
combinations,3
rise,5
melodies,1
ever,6
primary,1
colors,2
blue,1
yellow,5
red,4
white,1
black,1
produce,1
hues,1
therearenotmorethanvecardinaltastessouracridsaltsweetbitter,1
themyield,1
avors,1
tasted,1
endless,1
moving,4
possibilities,1
theonsetoftroopsisliketherushofatorrentwhichwillevenrollstones,1
decision,4
welltimed,1
swoop,1
falcon,2
strike,8
victim,1
thechinesehereistrickyandacertainkeywordinthecontextitisused,1
dees,1
efforts,2
translator,1
illustrative,2
denition,1
denote,1
instinct,1
self,3
restraint,1
keeps,4
thebirdfromswoopingonitsquarryuntiltherightmomenttogetherwith,1
judging,1
arrived,6
analogous,3
reserve,1
theirreuntiltheveryinstantatwhichitwillbemosteffective,1
whenthe,1
trafalgar,1
drifting,1
pace,1
minutes,1
exposed,3
storm,3
shot,2
shell,1
replyingwithasinglegun,1
nelsoncoollywaiteduntilhewaswithinclose,1
rangewhenthebroadsidehebroughttobearworkedfearfulhavoconthe,1
nearest,1
ships,2
terrible,3
onset,3
prompt,1
theworddecisionwouldhavereferencetothemeasurementofdistance,1
striking,4
comparable,1
idiom,1
describing,1
falcons,1
mode,1
proceeds,1
psychological,1
seized,3
likened,1
bending,1
crossbow,1
releasing,2
trigger,2
energyand,1
theforce,1
storedup,1
thebent,1
cross,4
bow,1
releasedby,1
amidtheturmoilandtumultofbattletheremaybeseemingdisorderand,1
amid,2
array,5
tail,8
itwill,1
previ,1
ously,1
agreed,2
separating,1
dispersing,1
appearance,6
pos,2
sible,1
formation,3
topsyturvy,1
rout,5
ofyour,2
simulated,4
postulates,3
weakness,7
tone,1
sharply,1
paradoxical,1
throws,1
hint,1
brief,1
serve,4
plainly,1
display,7
timidity,4
entrap,1
parade,1
overcondent,1
exceeding,1
hiding,1
beneath,2
cloak,1
subdi,1
vision,1
presupposes,1
fund,1
latent,1
dif,1
ferentlythananywhereelseinthischapter,1
thustumusays,1
seeingthat,1
favorably,1
circumstanced,1
reallyafraid,1
masking,1
relates,1
anecdote,3
tsu,4
em,2
peror,1
wishing,1
hsiungnu,5
report,6
forewarned,1
ablebodied,1
wellfed,2
inrm,1
sol,1
diers,1
emaciated,1
cattle,3
deliver,7
lou,1
op,4
posed,1
ostentatious,1
inrmity,1
ruse,2
unwise,1
disregarding,1
advice,2
fell,4
trap,4
surrounded,6
poteng,1
keeping,4
maintains,1
deceitful,1
appearances,2
act,3
want,7
happens,3
determined,2
descendent,1
inbcthechistatebeingatwarwithweisenttienchiand,1
happened,6
deadly,2
personalenemyofthelater,1
sunpinsaid,1
thechistatehasareputation,1
cowardice,3
despises,1
crossed,1
territory,13
res,3
pursued,4
hotly,1
cowards,3
dele,6
calculated,4
pursuers,2
dark,2
tree,3
inscribed,1
die,6
body,12
archers,1
ambush,6
shoot,3
directly,2
spot,6
noticing,1
struck,3
readwhatwaswrittenonit,1
hisbodywasimmediatelyriddledbyavolley,1
thrown,4
dramatically,1
throat,2
exclamation,1
despair,2
sacrices,1
somethingthat,1
snatch,2
holding,5
picked,5
waitfor,1
theclevercombatantlookstotheeffectofcombinedenergyanddoesnot,1
considers,2
individual,2
talent,1
cordingtohiscapabilities,1
hedoesnotdemandperfectionfromtheuntal,1
ented,1
pick,1
utilize,3
combined,1
whenheutilizescombinedenergyhisghtingmenbecomeasitwerelike,1
unto,3
rolling,3
logs,1
stones,1
log,1
motionlessonlevelgroundandtomovewhenonaslopeiffourcornered,1
standstill,1
roundshaped,1
tsau,3
theuse,1
inherent,1
thustheenergydevelopedbygoodghtingmenisasthemomentumofa,1
rolled,1
thousands,3
height,4
paramount,2
rapid,6
rushes,3
results,3
attempts,2
follows,6
acquaints,1
thetheoryofattackanddefenseandthenturnshisattentiontodirectandindirectmeth,1
ods,1
hestudiestheartofvaryingandcombiningthesetwomethodsbeforeproceeding,1
tothesubjectofweakandstrongpoints,1
fortheuseofdirectorindirectmethodsarises,1
perception,1
awaits,1
enemywillbefreshfortheghtwhoeverissecondintheeldandhasto,1
hasten,2
arrive,5
combatant,1
imposes,1
allow,3
willto,1
imposed,1
ghts,1
approach,2
hisownaccordorbyinictingdamagehecanmakeitimpossibleforthe,1
draw,7
intherstcasehewillenticehimwithabaitinthesecondhewillstrike,1
defend,6
harass,1
hendersons,3
stonewall,3
jackson,4
chens,1
inter,3
pretation,1
supplied,2
starve,1
encamped,4
appearatpointswhichtheenemymusthastentodefendmarchswiftlyto,1
places,16
anarmymaymarchgreatdistanceswithoutdistressifitmarchesthrough,1
emerge,1
void,1
qd,1
bolt,1
theblue,1
atvulnerable,1
shun,1
thatare,1
defended,1
unexpected,6
succeeding,2
undefended,2
wherethegeneralislackingincapacityorthesoldiersinspiritwherethe,1
late,4
defenders,2
variance,1
positions,12
nice,2
involved,1
assume,1
tomakeyourdefensequitesafeyoumustdefendeventhoseplacesthat,1
balances,1
precedingalways,1
antithetical,1
stylewhichisnaturaltothechinese,1
changyuthereforeseemstocome,1
nearer,2
ashes,1
topmost,1
heights,5
guard,9
precisely,4
defensehidesinthemostsecretrecessesoftheearthmakingitimpossible,1
fortheenemytoestimatehiswhereabouts,1
thisbeingsotheplacesthati,1
aphorism,1
nutshell,1
odivineartofsubtletyandsecrecy,1
throughyouwelearntobeinvisible,1
inaudible,1
absolutely,2
irresistible,2
emys,3
retire,3
pursuit,2
ments,2
thanthose,1
ifwewishtoghttheenemycanbeforcedtoanengagementeventhough,1
sheltered,1
rampart,1
ditch,2
relieve,5
invading,6
party,4
communications,5
occupy,7
boer,1
believer,1
ifwedonotwishtoghtwecanpreventtheenemyfromengaginguseven,1
lines,7
encampment,4
traced,1
throw,8
odd,1
unaccountable,1
intelligibly,1
paraphrased,1
constructed,2
puzzle,1
unusual,3
nallyclinchesthemeaningbythreeillustrativeanecdotesoneofchuko,1
occupying,3
yangping,1
stopped,4
ung,1
gates,1
showing,2
engaged,5
sweeping,1
sprinkling,1
effectforssumaisuspectinganambushactuallydrewoffhisarmyand,1
retreated,1
whatsuntzuisadvocatingherethereforeisnothingmorenor,1
timely,1
bluff,1
bydiscoveringtheenemysdispositionsandremaininginvisibleourselves,1
concentrated,2
theconclusionisperhapsnotveryobviousbutchangyuaftermeiyao,1
chenrightlyexplainsitthus,1
iftheenemysdispositionsarevisiblewe,1
quarter,2
fractions,1
pitted,1
opponents,8
dire,3
straits,4
intend,1
prepare,3
sheridan,1
grants,1
wondering,1
distributed,2
directions,3
proportionately,1
strengthen,1
van,3
weaken,1
hestrengthenhisrearhewillweakenhisvanshouldhestrengthenhisleft,1
hewillweakenhisrightshouldhestrengthenhisrighthewillweakenhis,1
reinforcements,3
everywhere,2
infrederickthegreatsinstructionstohisgeneralsweread,1
apt,1
betray,2
generalswhohavehadbutlittleexperienceattempttoprotecteverypoint,1
blow,4
acquiesce,1
misfortunes,1
tacks,1
compelling,1
compel,1
enemytodispersehisarmyandthentoconcentratesuperiorforceagainst,1
fraction,1
concentrate,4
employment,1
di,2
vide,2
hour,1
confront,2
overwhelming,3
suc,1
cessful,1
junctions,1
dramatic,1
blucher,1
butifneithertimenorplacebeknownthentheleftwingwillbeimpotent,1
impotent,1
support,4
furthest,1
portions,1
nearestare,1
separated,1
mental,3
picture,1
required,3
advan,2
cing,2
rendezvous,1
columns,1
orderstobethereonaxeddate,1
ifthegeneralallowsthevariousdetach,1
haphazard,2
precise,1
annihilate,1
yus,4
quoting,2
unity,3
forfeited,2
insecure,1
happening,1
urried,1
mutual,3
wings,1
vanguard,1
especiallyifthereisanygreatdistancebetweentheforemostandhindmost,1
alas,2
ended,1
inbcwiththetotaldefeatofwubykouchienanditsincorporation,1
doubtless,3
compare,3
seemingdiscrepancywhichhethusgoesontoexplain,1
inthechapteron,1
tacticaldispositionsitissaidonemayknowhowtoconquerwithout,1
impending,1
thoughtheenemybestrongerinnumberswemaypreventhimfromght,1
schemesoastodiscoverhisplansandthelikelihoodoftheirsuccess,1
analternativereadingofferedbychialinis,1
knowbeforehandallplans,1
conducive,1
failure,2
rouse,2
learnthe,1
inactivity,1
joy,2
shown,1
disturbed,1
low,3
choku,1
thescornfulpresentofawomansheaddresstossumaiinordertogoad,1
fabian,1
reveal,1
vulnerable,1
spots,4
opposing,3
superabundant,1
decient,3
pitch,4
attain,1
ceal,1
piquancy,1
evaporates,1
invisibility,1
prying,1
subtlest,1
machinations,1
wisest,2
brains,1
capable,2
cers,2
ableto,1
multitude,1
comprehend,1
evolved,1
ieeverybodycanseesuperciallyhowabattleiswonwhattheycannot,1
preceded,1
repeat,1
theinnite,1
aswanghsisagelyremarks,1
thereisbutonerootprincipleunderlying,1
victorybutthetacticswhichleaduptoitareinniteinnumberwiththis,1
comparecol,1
therulesofstrategyarefewandsimple,1
week,1
illustrations,1
dozen,1
diagrams,1
teach,2
grammar,1
gibbon,1
runs,2
downwards,2
soinwarthewayistoavoidwhatisstrongandtostrikeatwhatisweak,1
lineof,1
shapes,1
itowsthesoldierworksouthisvictoryinrelationtothefoewhomheis,1
retains,1
shape,4
relation,1
becalled,1
metal,1
predominant,1
predominate,1
alternately,1
wayfor,1
invariable,1
seat,1
days,12
periods,1
illustrate,1
xity,2
changes,1
constantly,3
happy,2
regularity,1
phe,1
nomena,1
paralleled,1
sover,3
eign,3
blend,2
harmonize,1
thereof,1
pitching,1
condence,6
higher,4
lower,2
venturing,1
battlearraycanbeformedinanhistoricalromancesuntzuisrepresen,1
domestic,1
troubles,1
external,3
ihavedepartedslightlyfromthetraditionalinterpretationoftsaokung,1
receiving,1
ourencampmentoveragainsttheenemythetacticstobepursuedaremost,1
haos,2
color,2
levying,1
harmonizing,1
entrenching,1
devious,1
misfortuneinto,1
gain,11
condensed,1
igmatical,1
expressions,1
cover,2
rapidly,3
tumusays,5
hoodwinktheenemysothathemayberemissandleisurely,1
dashing,1
traverse,1
obstacles,2
drawback,1
actualadvantagebycelerityofmovementsignalexamplesofthissaying,1
afforded,2
across,9
alpsthat,1
hanni,1
balwhichlaiditalyathismercyandthatofnapoleontwothousandyears,1
thegreat,1
marengo,1
circuitous,2
route,2
enticing,2
thewayandthoughstartingafterhimtocontrivetoreachthegoalbefore,1
deviation,1
oyu,2
invested,1
consulted,1
lien,4
advisability,1
intervening,1
rugged,1
hazardous,1
liketworatsghtinginawholeandthepluckieronewillwinsoheleft,1
throwing,1
entrenchments,1
strengthening,1
fortications,2
care,4
intelligencetotheenemy,1
thechingeneralwasoverjoyedandattributed,1
adversarys,3
beleaguered,1
sooner,1
departed,1
lasting,2
daysandonenightandarriveonthesceneofactionwithsuchastonishing,1
hill,4
followedforthechinforceswhowereobligedtoraisethesiegeofoyu,1
advantageous,3
multi,1
tude,1
dangerous,8
adopt,1
apply,2
nuance,1
using,3
ifyousetafullyequippedarmyinmarchinordertosnatchanadvantage,1
detach,2
column,2
involves,1
sacrice,1
baggage,2
stores,6
unintelligible,1
enthusiasm,1
deepseated,1
corruption,2
buffcoats,1
halting,1
usual,3
pursuing,1
twentyfour,1
hours,1
wrest,1
fallinto,1
jaded,3
onetenth,1
destination,1
themoralisastsaokungandotherspointout,1
dontmarchahundred,1
impedimenta,2
euversofthisdescriptionshouldbeconnedtoshortdistances,1
hardships,1
painful,1
dangers,1
traordinary,1
exertions,2
imperative,1
sacriced,1
everything,4
ifyoumarchftyliinordertooutmaneuvertheenemyyouwilllosethe,1
goal,3
torn,1
thirty,2
twothirds,1
wemaytakeitthenthatanarmywithoutitsbaggagetrainislostwithout,1
bases,1
accumulated,2
depots,1
fodder,2
fuel,2
salt,1
foodstuffs,1
enter,5
alliances,3
designs,2
neighbors,1
wearenotttoleadanarmyonthemarchunlesswearefamiliarwiththe,1
countryits,1
mountains,5
forests,3
pitfalls,2
precipices,4
marshes,2
swamps,2
local,7
guides,3
repeated,6
dissimulation,1
turenne,6
histroops,1
decided,3
cir,1
cumstances,1
doubly,1
appropriate,2
invisible,1
compactness,2
forest,3
mengshihcomesnearertothemarkinhisnote,1
whenslowlymarching,1
orderandranksmustbepreservedsoastoguardagainstsurpriseattacks,1
rows,1
density,1
raiding,1
plundering,2
fierce,1
blazing,1
check,4
immovability,1
lodge,1
letyourplansbedarkandimpenetrableasnightandwhenyoumovefall,1
thunderbolt,1
proverb,1
shut,2
ears,5
eyes,4
lighting,2
quickly,6
parried,1
marshal,3
longmans,1
plunder,5
countryside,1
spoil,2
lessen,1
abuses,1
indiscriminate,1
sisting,1
booty,1
stock,1
allotments,1
soldiery,1
land,3
sow,2
plant,1
harvesting,1
lands,1
invaded,2
memorable,2
triumphant,2
expeditions,1
penetrated,2
caspian,1
kangan,1
tsungtang,1
ponder,1
deliberatebefore,1
break,3
resisting,1
comparisons,1
hewillconquerwhohaslearntthearticeofdeviation,1
seesuprass,1
appendix,1
extract,1
fragment,1
suntzuhimselfbutnocommentatorraisesadoubtastoitsgenuineness,1
management,1
itisperhapssignicantthatnoneoftheearliercommentatorsgiveusany,1
betweenthevariouskingdomsandprincipalitiesofchinaitisnotinitself,1
improbable,1
collection,1
implied,1
institution,2
gongs,1
banners,5
andags,1
gongsanddrumsbannersandagsaremeanswherebytheearsandeyes,1
focusedon,1
hearing,4
converge,1
simultaneously,2
million,2
forthe,1
cowardly,1
chuangyuquotesasaying,1
equallyguiltyarethosewhoadvanceagainst,1
fore,4
matchless,1
daring,1
salliedforthbyhimselfcapturedtwoheadsfromtheenemyandreturned,1
instantly,1
ofcer,4
ventured,2
remonstrate,1
handlinglarge,1
masses,1
nightghting,1
signalres,1
inuencing,1
kuangpis,1
ride,2
hoyang,1
mounted,1
imposing,1
torches,2
thoughtherebelleadershihssuminghadalargearmyhedidnotdareto,1
berobbed,1
pervade,1
keenest,3
cue,1
buttowaituntiltheirardorandenthusiasmhavewornoffandthenstrike,1
robbed,2
protege,1
chuang,2
wasattackedbychiandthedukewasabouttojoinbattleatchangcho,1
questioned,1
delay,5
courageous,1
rollofthedrumtendstocreatethisspiritbutwiththeseconditisalready,1
onthewaneandafterthethirditisgonealtogether,1
iattackedwhentheir,1
inuences,1
continues,5
armya,1
mighty,1
menis,1
dependent,1
inuence,1
maybe,2
presence,3
asset,1
inspire,2
panic,4
stricken,1
hasasaying,1
attackingdoesnotmerelyconsistinassaultingwalled,1
include,1
sailing,1
equilibrium,1
morning,1
breakfast,1
trebia,1
romans,2
fasting,1
hannibals,1
breakfasted,1
leisure,1
livy,2
xxi,1
liv,1
lv,1
noonday,1
ag,3
evening,3
returning,4
avoids,1
sluggish,1
studying,1
moods,1
calm,2
await,3
hubbub,1
enemythisis,1
retaining,1
selfpossession,1
toiling,1
struggling,1
famishedthis,1
theart,1
husbanding,1
torefrainfrominterceptinganenemywhosebannersareinperfectorder,1
refrain,4
condent,2
studyingcircumstances,1
axiom,2
uphill,1
pose,1
downhill,1
donotpursueanenemywhosimulatesightdonotattacksoldierswhose,1
swallow,1
bait,3
offered,1
lichuanandtumuwithextraordinaryinabilitytoseeametaphortake,1
poisoned,1
wider,1
application,1
interfere,1
singular,1
bar,2
ponenttobetackled,1
changyuquotesthewordsofhanhsin,1
invincible,1
isthesoldierwhohathhisdesireandreturnethhomewardsamarvelous,1
tsaos,2
besieging,3
jang,1
piao,1
hemmed,3
guarding,1
outlet,2
pass,15
desperate,13
plight,4
nightfall,2
bored,1
tunnel,1
laid,1
bushinit,1
assoonasthewholearmyhadpassedbythehiddentroopsfell,1
thattheywerethrownintoconfusionandannihilated,1
tsaotsaosaidaf,1
terwards,2
brigands,1
metobattleinadesperateposition,1
henceiknewhowtoovercomethem,1
leave,2
free,2
thisdoesnotmeanthattheenemyistobeallowedtoescape,1
theobject,1
pleasantly,1
press,3
birds,5
beasts,2
bay,2
claws,1
teeth,1
burned,2
boats,3
destroyed,2
cookingpots,3
stake,1
issue,3
pushed,1
extremities,1
yenching,2
colleague,3
chungwei,2
khitans,1
desertlike,1
forwantofwater,1
thewellstheyboredrandryandthemenwerereduced,1
squeezing,1
lumps,1
mud,2
sucking,1
moisture,1
thinned,1
exclaimed,2
fettered,1
captivity,2
gale,2
blowing,3
northeast,2
darkening,1
air,1
dense,1
sandy,1
dust,5
abated,1
deciding,1
luckily,1
shou,1
quicker,1
sandstorm,1
discernible,1
strenuousghterandthewindwillbeourbestallyaccordinglyfuyen,1
onslaught,2
enumerate,2
ections,1
innumerable,1
option,1
indenitely,1
chapt,1
adopted,2
alternative,1
losta,1
supposition,1
shortness,1
lends,2
collects,1
concentrates,1
vii,9
interpolated,2
encamp,2
intersectjoinhandswithyourallies,1
donotlingerindangerouslyisolated,1
occurs,1
ibid,1
qv,1
situated,2
wells,2
ocks,1
herds,1
vegetables,1
rewood,2
gorges,2
chasms,1
roadby,1
hemmedin,5
resort,2
posi,1
whichmust,1
especiallythoseleadingthroughnarrowdelessayslichuanwhere,1
feared,2
notattacked,1
tacked,1
vantage,3
powerless,2
overtaxing,1
towns,1
besieged,2
iiiss,1
tsaokunggivesaninterestingillustrationfromhisownex,1
perience,1
hsuchou,1
ignored,2
huapi,1
path,2
pressed,2
thisexcellentstrategywasrewardedbythesubsequentcaptureof,1
nofewerthanfourteenimportantdistrictcities,1
changyusays,5
notown,1
trouble,3
urged,1
piyang,1
wellfortied,1
intaking,1
feat,1
myself,3
laughing,1
stockintheseventeenthcenturysiegesstillformedalargeproportionof,1
countermarches,1
waste,3
province,2
contested,1
obeyed,3
reverence,1
moved,1
exclaim,1
instruments,1
strife,1
antagonistic,1
commander,10
isthenegationofcivilordertheunpalatablefactremainshoweverthat,1
subordinated,1
understands,2
accompany,1
knowshow,1
conguration,1
ledge,1
se,1
curing,1
availing,1
characterized,1
features,3
scope,1
variability,1
topographical,1
issupplemented,1
versatility,1
student,1
varying,1
planseventhoughhebeacquaintedwiththefiveadvantageswillfailto,1
chialintellsusthattheseimplyveobviousandgenerallyadvantageous,1
anarmyisisolateditmustbeattackedifatownisinaparlouscondition,1
stormed,1
attempted,1
consistent,1
forbid,1
instance,6
shortest,1
theenemyhaslaidanambushonithewillnotfollowthatroad,1
ahostile,1
hardpressed,1
desperation,2
blendedtogether,1
disadvantageous,2
opposite,2
expectation,1
tempered,1
accomplishing,1
ifwewishtowrestanadvantagefromtheenemywemust,1
x,2
harm,1
calcula,1
difculties,2
seize,7
extricate,2
misfortune,1
consider,2
injure,1
counsels,1
considerationsareproperlyblendedishallsucceedinliberatingmyself,1
effecting,1
escape,5
nervelessness,1
incite,1
sue,2
encourage,1
boldcounterattackandusetheadvantagethusgainedtofreemyselffrom,1
toils,1
reduce,2
chiefs,1
inicting,2
damage,1
chialinenumeratesseveralwaysofinictingthisinjurysomeofwhich,1
wouldonlyoccurtotheorientalmindenticeawaytheenemysbestand,1
counselors,1
introduce,1
fo,1
intrigue,1
deceit,1
dissension,1
ministers,3
artful,3
contrivance,1
deterioration,1
corrupt,1
morals,1
sidious,1
gifts,1
excess,1
disturb,1
unsettle,1
presenting,1
lovely,1
injury,1
tumuinthisphraseinhisinterpretationindicatesthattroubleshouldbe,1
makefortheenemyaffectingtheirpossessionsoraswemightsayas,1
sets,2
rich,3
punctual,1
fulllment,1
whiphand,1
servants,1
specious,1
allurements,1
rush,3
excellent,1
idiomatic,1
causethemtoforgetpienthereasonsforactingotherwisethanontheir,1
impulse,2
hastenin,1
direction,4
teaches,1
likelihood,1
readiness,2
receive,2
chance,4
unassailable,1
faults,3
affect,1
recklessness,1
bravery,1
forethought,2
analyzes,1
blindly,1
desperately,2
mad,1
bull,1
encountered,1
lured,1
estimating,1
character,3
wont,1
pay,2
exclusive,1
qualities,1
prone,1
toghtrecklesslyandhewhoghtsrecklesslywithoutanyperceptionof,1
whatisexpedientmustbecondemnedssumafatoomaketheincisive,1
toones,1
leadsto,1
prevents,2
advancing,4
hsiadds,1
isquick,1
eeat,1
sightof,1
mengshihgivesthecloserparaphrasehewhoisbentonreturningalive,1
willing,1
risks,1
hewholetsanadvantageslipwillsubsequentlybringuponhimself,1
rebel,5
huan,4
yangtsze,2
naval,1
island,1
chenghung,1
numbered,1
fearing,4
overcome,1
boat,5
fast,1
warjunk,1
moments,3
quenchedandwhentheloyalistsmadeanattackfromwindwardwithre,1
shipsallstrivingwiththeutmostardortoberstinthefrayhuanhsuans,1
forceswereroutedhadtoburnalltheirbaggageandedfortwodaysand,1
nightswithoutstopping,1
changyutellsasomewhatsimilarstoryofchao,1
yingchiageneralofthechinstatewhoduringabattlewiththearmyof,1
chuinbchadaboatkeptinreadinessforhimontheriverwishing,1
therst,1
provoked,2
insults,1
tumutellsusthatyaohsingwhenopposedinadbyhuangmei,1
chiang,3
refused,2
tengchiangsaid,1
ouradversaryisofacholerictemperandeasily,1
sallies,1
angry,4
doomed,5
prey,1
toghtwasluredasfarassanyuanbytheenemyspretendedightand,1
delicacy,1
whichis,1
sensitive,1
shame,2
defect,1
condemns,1
exaggerated,2
sensitiveness,1
slanderous,1
reports,4
thinskinned,1
stung,1
opprobrium,1
undeserved,1
paradoxically,1
glory,2
opin,1
ion,1
oversolicitude,1
exposes,1
worry,1
thewelfareofhistroops,1
allhewishestoemphasizeisthedangerofsac,1
ricing,1
immediate,1
shortsighted,1
suffermorefromthedefeatoratbesttheprolongationofthewarwhich,1
consequence,3
mistaken,1
pity,1
induce,2
generaltorelieveabeleagueredcityortoreinforceahardpresseddetach,1
contrary,2
instincts,1
south,2
african,1
blunders,2
theendreliefcamethroughtheverymanwhostartedoutwiththedistinct,1
resolve,1
subordinate,2
interests,2
sentiment,1
conspicuouslyinthiswartriedonceiremembertodefendhimtomeon,1
plea,1
mouth,3
besetting,1
sins,1
ruinous,1
conduct,4
meditation,1
indicated,1
encamping,2
observing,1
neighborhood,5
valleys,3
linger,1
barren,1
uplands,1
sup,1
plies,1
grass,8
abide,1
ovens,1
theopeningsofvalleyschangyutellsthefollowinganecdote,1
tuchiangwasarobbercaptaininthetimeofthelaterhanandmayuan,1
exterminate,2
gang,1
refuge,4
hills,1
vorable,2
tomakeatotalsurrender,1
hedidnotknowtheadvantageofkeepinginthe,1
notonhighhillsbutonknollsorhillockselevatedabovethesurrounding,1
east,4
climb,1
crossing,6
riveryou,1
inordertotempttheenemytocrossafteryouaccordingtotsaokung,1
impeded,2
crosses,1
whenaninvadingforcecrossesariverinitsonwardmarchdonotadvance,1
tomeetitinmidstream,1
itwillbebesttolethalfthearmygetacrossand,1
verso,2
sacks,1
sand,1
construct,1
dam,1
pretending,2
hastily,2
withdrew,1
bank,6
elated,2
unlookedfor,1
exclaiming,1
coward,1
sandbags,1
volume,1
swept,2
prevented,2
getting,4
annihilated,1
scattered,1
invader,2
preventing,2
moor,1
craft,1
higherup,1
repetition,1
isveryawkward,1
changyuhasthenote,2
saideitheroftroopsmarshaled,1
riverbank,1
anchored,2
upstream,1
ows,1
reaches,1
sluices,1
andsweepusawayinaood,1
chukowuhouhasremarkedthatinriver,1
eet,1
noted,3
poison,2
onthe,1
saltmarshes,1
concern,1
fresh,4
herbage,1
becausethey,1
saltmarsh,1
clump,1
trees,5
saltmarches,1
dry,3
accessible,2
rising,6
marsh,2
tumulus,2
campaigning,1
branches,2
thosenamelyconcernedwithmountainsriversmarshesand,1
plains,1
napoleons,2
enabled,1
vanquish,1
asks,1
plaus,1
ibility,1
error,1
emperors,1
seventy,2
pacied,1
stitute,1
system,3
vassals,1
offouroriginallyborethetitleofemperor,1
lichuantellsusthattheart,1
ofwaroriginatedunderhuangtiwhoreceiveditfromhisministerfeng,1
prefer,6
agreement,1
salubriousbutmoreconvenientfromamilitarypointofviewlowground,1
damp,1
unhealthy,1
sunny,5
pasture,1
animals,2
graze,1
disease,1
dryness,1
climate,1
outbreak,3
illness,1
slope,1
onyourrightrear,1
thusyouwillatonceactforthebenetofyoursoldiers,1
rains,1
upcountry,1
ford,1
swollen,1
ecked,1
foam,1
subsides,1
countryinwhichthereareprecipitouscliffswithtorrentsrunningbetween,1
hollows,1
enclosed,1
steep,1
banks,1
pools,1
bottom,1
conned,1
pens,1
prisons,1
sideseasy,1
getinto,1
tangled,1
thickets,1
denedasplacescoveredwithsuchdenseundergrowththatspearscan,1
quagmires,1
lowlying,1
impassable,1
horsemen,3
crevasses,2
beetling,1
cliffs,1
rocks,1
sectedbynumerousravinesandpitfallsthisisveryvaguebutchialin,1
cer,1
tainly,1
inclines,1
crack,1
ssure,1
ofthechineseelsewhereinthesentenceindicatessomethinginthenature,1
approached,2
ap,4
proach,1
hilly,1
ponds,1
aquatic,1
hollow,1
basins,1
reeds,2
woods,1
undergrowth,1
searched,1
insidious,1
lurking,1
whomaylieinclosecovertsecretlyspyingoutourweaknessesandover,1
quiet,3
relying,2
manual,1
badenpowells,1
aids,4
scouting,4
aloof,2
tries,3
provoke,2
dislodge,1
